Player,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Thomas Strakosha,al ALB,GK,Brentford,28-212,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Armando Broja,al ALB,FW,Chelsea,22-037,2001,3,2,121,1.3,1,0,1,1,0,0,0,0,0.5,0.5,0,0.5,4,2,9,0.74,0,0.74,0.74,0.74,0.4,0,0.4,0.4,0.4,Matches
3,Alejo Véliz,ar ARG,"MF,FW",Tottenham,20-028,2003,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Marcos Senesi,ar ARG,DF,Bournemouth,26-160,1997,7,5,437,4.9,0,1,1,0,0,0,1,0,0,0,0.2,0.2,9,22,0,0,0.21,0.21,0,0.21,0,0.04,0.04,0,0.04,Matches
5,Gonzalo Montiel,ar ARG,DF,Nott'ham Forest,26-289,1997,4,1,168,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,4,9,7,0,0,0,0,0,0.05,0.06,0.11,0.05,0.11,Matches
6,Lisandro Martínez,ar ARG,DF,Manchester Utd,25-272,1998,5,5,375,4.2,0,1,1,0,0,0,2,0,0,0,0.1,0.1,6,26,1,0,0.24,0.24,0,0.24,0,0.02,0.02,0,0.02,Matches
7,Emiliano Martínez,ar ARG,GK,Aston Villa,31-045,1992,7,7,630,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Alexis Mac Allister,ar ARG,MF,Liverpool,24-297,1998,8,8,610,6.8,0,1,1,0,0,0,3,1,0.1,0.1,0.3,0.4,10,40,4,0,0.15,0.15,0,0.15,0.01,0.04,0.06,0.01,0.06,Matches
9,Giovani Lo Celso,ar ARG,MF,Tottenham,27-191,1996,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0.16,0.16,0,0.16,Matches
10,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,19-108,2004,6,2,203,2.3,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,16,7,31,0,0,0,0,0,0.25,0.13,0.38,0.25,0.38,Matches
